movieId,title,genres,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,poster_path,cluster_kmeans
619,Ed (1996),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/619.jpg,2
33826,Saint Ralph (2004),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/33826.jpg,3
1298,Pink Floyd: The Wall (1982),Drama|Musical,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data/posters/1298.jpg,2
140289,Men & Chicken (2015),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/140289.jpg,4
3064,Poison Ivy: New Seduction (1997),Drama|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/3064.jpg,5
2868,Fright Night Part II (1988),Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,data/posters/2868.jpg,9
27826,Touch of Pink (2004),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/27826.jpg,3
1950,In the Heat of the Night (1967),Drama|Mystery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data/posters/1950.jpg,3
27802,Infernal Affairs 2 (Mou gaan dou II) (2003),Action|Crime|Drama|Thriller,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/27802.jpg,2
7149,Something's Gotta Give (2003),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/7149.jpg,11
4334,Yi Yi (2000),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/4334.jpg,5
39234,North Country (2005),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/39234.jpg,2
5562,Snipes (2001),Drama|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/5562.jpg,5
6678,"Handmaid's Tale, The (1990)",Drama|Sci-Fi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,data/posters/6678.jpg,5
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,data/posters/5313.jpg,11
7205,"Wind and the Lion, The (1975)",Adventure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/7205.jpg,5
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/573.jpg,4
